Source,My Role,Start,End,People,Title,Amount,Type
UKFin+ (UKRI funded),PI,2024,2025,Jesus Del Rincon Martinez Abhishek Pramanick Darren Burrows (CEO of Funds Axis),Leveraging AI to understand and improve regulatory compliance in the Investment Management Industry,100000,Research
Department of the Economy NI,Co-I,2023,,Declan French,PhD investigation of the economic costs of cultural displays in Northern Ireland,70000,Research
Innovate UK,PI,2022,2023,Lisa Sheenan Byron Graham,E.S.G fair value analytics platform: using state-of-the-art financial data science and business analytics to design a fair-value ESG prediction engine,173000,Research
Innovate UK,PI,2021,2023,"Fearghal, Kearney",Regulatory technology and portfolio analytics using state-of-the-art econometrics and financial machine learning,173000,Research
Innovate UK,PI,2018,2021,"Byron, Graham",Designing and deploying a retail analytics platform using advanced analytics and machine learning,165000,Research
Department of the Economy NI,Co-I,2021,,Donal McKillop,PhD investigation into how AI innovation affect a highly valued financial service provision experience,70000,Research
Phoenix Natural Gas Ltd,PI,2014,2015,Alan Hanna Fotis Papilias,Forecasting daily demand for natural gas in Northern Ireland,15000,Consulting
Department of the Economy + Department of Argiculture Enviromental and Rural Affairs,Co-I,2016,2018,Donal McKillop Declan French,Landscape review of Northern Ireland,32000,Consulting
InvestNI,Co-I,2018,,Byron Graham,Review of state-of-the-art machine learning in the context of retail analytics and monitoring,5000,Consulting
InvestNI,Co-I,2019,2019,Byron Graham,Review of AI and web analytics for price comparision,5000,Consulting
InvestNI,Co-I,2021,2021,Fearghal Kearney,Review of Value at Risk analytics at the intersection of econometrics and machine learning,5000,Consulting
Centre for Irish Business Economics and Policy,PI,2016,2019,Institute of Directors,Estimation the costs and benefits of to corporation tax policy change in Northern Ireland,3500,Research
